data__id,data__text,data__lang,data__created_at,author__username,data__author_id,data__conversation_id,data__public_metrics__retweet_count,data__public_metrics__reply_count,data__public_metrics__like_count,data__public_metrics__quote_count,data__reply_settings,data__possibly_sensitive,data__source,data__geo__place_id,data__referenced_tweets__type,data__referenced_tweets__id,data__in_reply_to_user_id,data__entities__hashtags__start,data__entities__hashtags__end,data__entities__hashtags__tag,data__entities__mentions__start,data__entities__mentions__end,data__entities__mentions__username,data__entities__mentions__username,data__entities__mentions__id,data__entities__urls__start,data__entities__urls__end,data__entities__urls__url,data__entities__urls__expanded_url,data__entities__urls__display_url,data__entities__urls__status,data__entities__urls__unwound_url,data__context_annotations__|,data__context_annotations__|__id,data__context_annotations__|__name,data__context_annotations__|__description,data__attachments__media_keys__001,data__attachments__media_keys__002,data__attachments__media_keys__003,data__attachments__media_keys__004,meta__newest_id,meta__oldest_id,meta__result_count
1518972102522646529,"Les idées d'extrême droite progressent au plus haut niveau des institutions de l'UE.  \n  \n Ici, le Commissaire 🇪🇺 @MargSchinas trouve donc normal de rencontrer les néo-franquistes de Vox pour ""débattre"" de l'immigration. \n  \n Inacceptable banalisation : la Pdte @vonderleyen doit réagir ! https://t.co/htaIW2xrgY",fr,2022-04-26T15:15:45.000Z,@ManonAubryFr,2850651695,1518972102522646529,129,51,209,8,everyone,False,,,quoted,1518921209685192704,,,,,110,122,MargSchinas,MargSchinas,820190174,281,304,https://t.co/htaIW2xrgY,https://twitter.com/MargSchinas/status/1518921209685192704,twitter.com/MargSchinas/st…,,,domain,10,Person,Named people in the world like Nelson Mandela,,,,,1518972102522646529,1481951695995342849,6
,,,,,,,,,,,,,,,,,,,,,254,266,vonderleyen,vonderleyen,1146329871418843136,,,,,,,,entity,1118114170367381504,Manon Aubry,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,10,Person,Named people in the world like Nelson Mandela,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,1151432219002454016,Ursula von der Leyen,President of European Commission,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,35,Politician,"Politicians in the world, like Joe Biden",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,1118114170367381504,Manon Aubry,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,35,Politician,"Politicians in the world, like Joe Biden",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,1151432219002454016,Ursula von der Leyen,President of European Commission,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,131,Unified Twitter Taxonomy,A taxonomy of user interests. ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,847878884917886977,Politics,Politics,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,131,Unified Twitter Taxonomy,A taxonomy of user interests. ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,1070032753834438656,Political figures,Politician,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,131,Unified Twitter Taxonomy,A taxonomy of user interests. ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,1118114170367381504,Manon Aubry,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,131,Unified Twitter Taxonomy,A taxonomy of user interests. ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,1151432219002454016,Ursula von der Leyen,President of European Commission,,,,,,,
1504137919790936066,Les institutions européennes sont un nid de conflits d'intérêts et autres #LiaisonsDangereuses. \n  \n Mais le mercato des LREM en fin de mandat bat les records.  \n  \n C'est la grande migration des profiteurs qui retournent se gaver dans leur habitat naturel après avoir usé l'Etat. https://t.co/nNr9CDzfb9,fr,2022-03-16T16:50:00.000Z,@ManonAubryFr,2850651695,1504137919790936066,90,6,153,2,everyone,False,,,,,,74,94,LiaisonsDangereuses,,,,,,273,296,https://t.co/nNr9CDzfb9,https://twitter.com/ManonAubryFr/status/1504137919790936066/photo/1,pic.twitter.com/nNr9CDzfb9,,,domain,10,Person,Named people in the world like Nelson Mandela,3_1504084274458284036,3_1504084309686329347,3_1504084364807790595,3_1504084438631788554,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,273,296,https://t.co/nNr9CDzfb9,https://twitter.com/ManonAubryFr/status/1504137919790936066/photo/1,pic.twitter.com/nNr9CDzfb9,,,entity,1118114170367381504,Manon Aubry,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,273,296,https://t.co/nNr9CDzfb9,https://twitter.com/ManonAubryFr/status/1504137919790936066/photo/1,pic.twitter.com/nNr9CDzfb9,,,domain,35,Politician,"Politicians in the world, like Joe Biden",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,273,296,https://t.co/nNr9CDzfb9,https://twitter.com/ManonAubryFr/status/1504137919790936066/photo/1,pic.twitter.com/nNr9CDzfb9,,,entity,1118114170367381504,Manon Aubry,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,131,Unified Twitter Taxonomy,A taxonomy of user interests. ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,847878884917886977,Politics,Politics,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,131,Unified Twitter Taxonomy,A taxonomy of user interests. ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,1070032753834438656,Political figures,Politician,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,131,Unified Twitter Taxonomy,A taxonomy of user interests. ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,1118114170367381504,Manon Aubry,,,,,,,,
1500904275744075786,"Nous en avons besoin d’urgence alors que la tentation autoritaire  s’installe. \n   \n En Pologne et en Hongrie bien sûr, où l’extrême droite au pouvoir écrase méthodiquement les défenseurs des droits des femmes, des migrants et des personnes LGBTQI.",fr,2022-03-07T18:40:39.000Z,@ManonAubryFr,2850651695,1500904212275806215,14,4,37,0,everyone,False,,,replied_to,1500904212275806215,2850651695,,,,,,,,,,,,,,,,domain,10,Person,Named people in the world like Nelson Mandela,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,1118114170367381504,Manon Aubry,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,35,Politician,"Politicians in the world, like Joe Biden",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,1118114170367381504,Manon Aubry,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,123,Ongoing News Story,Ongoing News Stories like 'Brexit',,,,,,,
