data__id,data__text,data__lang,data__created_at,author__username,data__author_id,data__conversation_id,data__public_metrics__retweet_count,data__public_metrics__reply_count,data__public_metrics__like_count,data__public_metrics__quote_count,data__reply_settings,data__possibly_sensitive,data__source,data__geo__place_id,data__referenced_tweets__type,data__referenced_tweets__id,data__in_reply_to_user_id,data__entities__hashtags__start,data__entities__hashtags__end,data__entities__hashtags__tag,data__entities__mentions__start,data__entities__mentions__end,data__entities__mentions__username,data__entities__mentions__username,data__entities__mentions__id,data__entities__urls__start,data__entities__urls__end,data__entities__urls__url,data__entities__urls__expanded_url,data__entities__urls__display_url,data__entities__urls__status,data__entities__urls__unwound_url,data__context_annotations__|,data__context_annotations__|__id,data__context_annotations__|__name,data__context_annotations__|__description,data__attachments__media_keys__001,data__attachments__media_keys__002,data__attachments__media_keys__003,data__attachments__media_keys__004,meta__newest_id,meta__oldest_id,meta__result_count
1529893931785367563,"RT @chapelledebout: 🔴 RDV SAMEDI 14H POUR UN GRAND MEETING DE SOUTIEN À L'AMBASSADE DES IMMIGRÉS🔴Face à l'extrême droite, face à l’Etat qui refusent que des immigrés vivent, existent et s'organisent en plein cœur de Paris, organisons nous ! #SolidaritéImmigrée  \n #RésistanceAntifasciste https://t.co/WqdD0ndv62",fr,2022-05-26T18:35:12.000Z,@Clem_Autain,491343921,1529893931785367563,57,0,0,0,everyone,False,,,retweeted,1529534600564953089,,,,,3,18,chapelledebout,chapelledebout,755890774890405890,,,,,,,,,,,,,,,,1529893931785367563,1497175390116360192,4
1518930995256381444,"Lois sur l'immigration, attaques de Blanquer/Vidal contre l'université, débats sur les tests osseux... Députée, j'ai suivi dans le menu détail la façon dont le pouvoir en place a marché dans les pas idéologiques de l'extrême droite. https://t.co/b6WXGQMyGw",fr,2022-04-26T12:32:24.000Z,@Clem_Autain,491343921,1518930995256381444,78,12,238,3,everyone,False,,,,,,,,,,,,,,233,256,https://t.co/b6WXGQMyGw,https://twitter.com/Clem_Autain/status/1518930995256381444/video/1,pic.twitter.com/b6WXGQMyGw,,,,,,,,,,,,,
1516513569977905160,"Pour les soutenir, vous pouvez participer à la cagnotte en ligne :  \n https://t.co/rR3zWlIncz",fr,2022-04-19T20:26:25.000Z,@Clem_Autain,491343921,1516513238556553217,11,4,21,1,everyone,False,,,replied_to,1516513238556553217,491343921,,,,,,,,,68,91,https://t.co/rR3zWlIncz,https://www.okpal.com/cagnotte-de-soutien-a-l-ambassade-des-immigres/?utm_campaign=01G0YYQFTHG35NSM1A8MQATTFG&utm_medium=campaign_success-okpuid_01G0YYQBN60Q713AJW3HBKJJYP-20220418&utm_source=share_directlink#/,okpal.com/cagnotte-de-so…,200,https://www.okpal.com/cagnotte-de-soutien-a-l-ambassade-des-immigres/?utm_campaign=01G0YYQFTHG35NSM1A8MQATTFG&utm_medium=campaign_success-okpuid_01G0YYQBN60Q713AJW3HBKJJYP-20220418&utm_source=share_directlink#/,,,,,,,,,,,
1497175390116360192,"Le cynisme le plus crasse et la hiérarchie entre les immigrés, le cocktail est à vomir et donne la mesure de l'ambiance idéologique de notre époque. Trop de digues ont sauté. https://t.co/gfSRVLzQt9",fr,2022-02-25T11:43:23.000Z,@Clem_Autain,491343921,1497175390116360192,542,93,1877,11,everyone,False,,,quoted,1497138511044124672,,,,,,,,,,175,198,https://t.co/gfSRVLzQt9,https://twitter.com/Europe1/status/1497138511044124672,twitter.com/Europe1/status…,,,domain,30,Entities [Entity Service],"Entity Service top level domain, every item that is in Entity Service should be in this domain",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,825047692124442624,Food,Food,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,65,Interests and Hobbies Vertical,"Top level interests and hobbies groupings, like Food or Travel",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,834828264786898945,Drinks,Drinks,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,66,Interests and Hobbies Category,"A grouping of interests and hobbies entities, like Novelty Food or Destinations",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,834828445238431744,Generic Drinks,Generic Drinks,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,67,Interests and Hobbies,"Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks",,,,,,,
