data__id,data__text,data__lang,data__created_at,author__username,data__author_id,data__conversation_id,data__public_metrics__retweet_count,data__public_metrics__reply_count,data__public_metrics__like_count,data__public_metrics__quote_count,data__reply_settings,data__possibly_sensitive,data__source,data__geo__place_id,data__referenced_tweets__type,data__referenced_tweets__id,data__in_reply_to_user_id,data__entities__hashtags__start,data__entities__hashtags__end,data__entities__hashtags__tag,data__entities__mentions__start,data__entities__mentions__end,data__entities__mentions__username,data__entities__mentions__username,data__entities__mentions__id,data__entities__urls__start,data__entities__urls__end,data__entities__urls__url,data__entities__urls__expanded_url,data__entities__urls__display_url,data__entities__urls__status,data__entities__urls__unwound_url,data__context_annotations__|,data__context_annotations__|__id,data__context_annotations__|__name,data__context_annotations__|__description,data__attachments__media_keys__001,data__attachments__media_keys__002,data__attachments__media_keys__003,data__attachments__media_keys__004,meta__newest_id,meta__oldest_id,meta__result_count
1506326458804969477,Le problème en #France ce n'est pas l'immigration ce sont les inégalités. 5 personnes dans notre pays possèdent autant que 40% de la population. Ce bilan c'est celui de #Macron. Voter @JLMelenchon c'est voter pour le partage des richesses.  \n #Presidentielle2022  \n #MardiPol https://t.co/ZMlGtYCIjK,fr,2022-03-22T17:46:28.000Z,@Alexiscorbiere,266215308,1506326458804969477,58,8,105,0,everyone,False,,,,,,15,22,France,184,196,JLMelenchon,JLMelenchon,80820758,272,295,https://t.co/ZMlGtYCIjK,https://twitter.com/alexiscorbiere/status/1506326458804969477/video/1,pic.twitter.com/ZMlGtYCIjK,,,domain,10,Person,Named people in the world like Nelson Mandela,,,,,1506326458804969477,1486830830508986368,5
,,,,,,,,,,,,,,,,,,169,176,Macron,,,,,,,,,,,,,entity,1466058925661245445,Jean-Luc Mélenchon,,,,,,,,
,,,,,,,,,,,,,,,,,,241,260,Presidentielle2022,,,,,,,,,,,,,domain,29,Events [Entity Service],Real world events. ,,,,,,,
,,,,,,,,,,,,,,,,,,262,271,MardiPol,,,,,,,,,,,,,entity,1483827056597110787,French Presidential Elections 2022,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,35,Politician,"Politicians in the world, like Joe Biden",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,1466058925661245445,Jean-Luc Mélenchon,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,38,Political Race,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,1483827056597110787,French Presidential Elections 2022,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,131,Unified Twitter Taxonomy,A taxonomy of user interests. ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,847878884917886977,Politics,Politics,,,,,,,
