data__id,data__text,data__lang,data__created_at,author__username,data__author_id,data__conversation_id,data__public_metrics__retweet_count,data__public_metrics__reply_count,data__public_metrics__like_count,data__public_metrics__quote_count,data__reply_settings,data__possibly_sensitive,data__source,data__geo__place_id,data__referenced_tweets__type,data__referenced_tweets__id,data__in_reply_to_user_id,data__entities__hashtags__start,data__entities__hashtags__end,data__entities__hashtags__tag,data__entities__mentions__start,data__entities__mentions__end,data__entities__mentions__username,data__entities__mentions__username,data__entities__mentions__id,data__entities__urls__start,data__entities__urls__end,data__entities__urls__url,data__entities__urls__expanded_url,data__entities__urls__display_url,data__entities__urls__status,data__entities__urls__unwound_url,data__context_annotations__|,data__context_annotations__|__id,data__context_annotations__|__name,data__context_annotations__|__description,data__attachments__media_keys__001,data__attachments__media_keys__002,data__attachments__media_keys__003,data__attachments__media_keys__004,meta__newest_id,meta__oldest_id,meta__result_count
1070942499437465601,"RT @mnlienemann: Au Senat, le représentant du RN dans son discours sur le mouvement des #GiletsJaunes ne fait aucune proposition pour le #pouvoirdachat ou redonner du pouvoir au peuple. Il attaque les immigrés. Les masques tombent. Nos concitoyens ne seront pas dupes.",fr,2018-12-07T07:26:03.000Z,@Gauche_RS,819682788,1070942499437465601,132,0,0,0,everyone,False,,,retweeted,1070686482422206464,,88,101,GiletsJaunes,3,15,mnlienemann,mnlienemann,46522376,,,,,,,,,,,,,,,,1070942499437465601,952107009515708416,28
1067849374775033857,RT @lvslmedia: .@FabioDeMasi est député au Bundestag et co-fondateur avec @SWagenknecht du mouvement @aufstehen_de. Cet entretien est l’occasion d’expliciter la stratégie d’Aufstehen et de mieux connaître sa position sur la question de l’immigration. https://t.co/ZjDPZ6mWWd,fr,2018-11-28T18:35:05.000Z,@Gauche_RS,819682788,1067849374775033857,22,0,0,0,everyone,False,,,retweeted,1067838124867366913,,,,,3,13,lvslmedia,lvslmedia,804377363085664256,,,,,,,,domain,10,Person,Named people in the world like Nelson Mandela,,,,,,,
,,,,,,,,,,,,,,,,,,,,,16,28,FabioDeMasi,FabioDeMasi,14784765,,,,,,,,entity,827111688893652993,Sahra Wagenknecht,Sahra Wagenknecht,,,,,,,
,,,,,,,,,,,,,,,,,,,,,74,87,SWagenknecht,SWagenknecht,47375691,,,,,,,,domain,35,Politician,"Politicians in the world, like Joe Biden",,,,,,,
,,,,,,,,,,,,,,,,,,,,,101,114,aufstehen_de,aufstehen_de,1024697771817947136,,,,,,,,entity,827111688893652993,Sahra Wagenknecht,Sahra Wagenknecht,,,,,,,
1055706000244785153,"RT @PDedet: .@emmanuelmaurel : On devrait attaquer le gouvernement italien sur ses  attaques contre les libertés fondamentales (contre les immigrés, les francs maçons par ex.) et pas sur leur politique budgétaire ! #TdInfos #Maurel #APRÉS",fr,2018-10-26T06:21:39.000Z,@Gauche_RS,819682788,1055706000244785153,21,0,0,0,everyone,False,,,retweeted,1055705213154324480,,,,,3,10,PDedet,PDedet,1715393912,,,,,,,,domain,13,Place,"Named places in the world, like Fenway Park",,,,,,,
,,,,,,,,,,,,,,,,,,,,,13,28,emmanuelmaurel,emmanuelmaurel,66691158,,,,,,,,entity,855426783717371904,Italy,Italy,,,,,,,
1051016800362790912,"RT @S2RVNL: ""\(...)Avec la France insoumise, j’ai des désaccords sur la politique extérieure, la Nation, les migrants, la laïcité mais sur la question sociale et écologiste les convergences sont très fortes. Il faut construire un « nouveau peuple » (...)\""",fr,2018-10-13T07:48:26.000Z,@Gauche_RS,819682788,1051016800362790912,5,0,0,0,everyone,False,,,retweeted,1051009392122966016,,,,,3,10,S2RVNL,S2RVNL,218120019,,,,,,,,domain,13,Place,"Named places in the world, like Fenway Park",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,855410955341119490,France,France,,,,,,,
1046653525843988480,@BFMTV @manuelvalls On lui rappelle la politique migratoire qu’il a conduite ? #Réfugiés #Aquarius 🙄😱,fr,2018-10-01T06:50:21.000Z,@Gauche_RS,819682788,1046653221136224257,4,1,25,0,everyone,False,,,replied_to,1046653221136224257,133663801,79,88,Réfugiés,0,6,BFMTV,BFMTV,133663801,,,,,,,,domain,10,Person,Named people in the world like Nelson Mandela,,,,,,,
,,,,,,,,,,,,,,,,,,89,98,Aquarius,7,19,manuelvalls,manuelvalls,70385068,,,,,,,,entity,822416914076942336,Manuel Valls,Manuel Valls,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,35,Politician,"Politicians in the world, like Joe Biden",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,822416914076942336,Manuel Valls,Manuel Valls,,,,,,,
1044445390819479552,RT @mnlienemann: Il ne faut plus attendre et accueillir l’Aquarius et 58 migrants à Marseille. Pas d’hésitations quand il s’agit des droits humains. #AQUARIUS,fr,2018-09-25T04:36:00.000Z,@Gauche_RS,819682788,1044445390819479552,11,0,0,0,everyone,False,,,retweeted,1044338949857189890,,,,,3,15,mnlienemann,mnlienemann,46522376,,,,,,,,domain,13,Place,"Named places in the world, like Fenway Park",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,864480114960027648,Marseille,Marseille,,,,,,,
1038776552094425088,"RT @Causes_Communes: .@emmanuelmaurel : @EmmanuelMacron c’est pire que Sarkozy : cadeaux fiscaux aux plus riches, ordonnances travail, réforme de la SNCF, loi asile et immigration, et, au terme de cet été meurtrier pour lui, un agenda économique et social à faire passer Madelin pour un socdem.",fr,2018-09-09T13:10:04.000Z,@Gauche_RS,819682788,1038776552094425088,7,0,0,0,everyone,False,,,retweeted,1038747711691022339,,,,,3,19,Causes_Communes,Causes_Communes,935093799788974080,,,,,,,,domain,10,Person,Named people in the world like Nelson Mandela,,,,,,,
,,,,,,,,,,,,,,,,,,,,,22,37,emmanuelmaurel,emmanuelmaurel,66691158,,,,,,,,entity,822153632002904064,Emmanuel Macron,Emmanuel Macron,,,,,,,
,,,,,,,,,,,,,,,,,,,,,40,55,EmmanuelMacron,EmmanuelMacron,1976143068,,,,,,,,domain,10,Person,Named people in the world like Nelson Mandela,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,822417319812943873,Nicolas Sarkozy,Nicolas Sarkozy,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,35,Politician,"Politicians in the world, like Joe Biden",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,822153632002904064,Emmanuel Macron,Emmanuel Macron,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,35,Politician,"Politicians in the world, like Joe Biden",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,822417319812943873,Nicolas Sarkozy,Nicolas Sarkozy,,,,,,,
1038776430144970752,RT @Causes_Communes: .@JLMelenchon « Ce sont les traités commerciaux avec l’Afrique qui en vident les campagnes. La première cause de l’immigration c’est les politiques injustes. » \n #NosCausesCommunes,fr,2018-09-09T13:09:35.000Z,@Gauche_RS,819682788,1038776430144970752,27,0,0,0,everyone,False,,,retweeted,1038736760208072704,,,,,3,19,Causes_Communes,Causes_Communes,935093799788974080,,,,,,,,domain,10,Person,Named people in the world like Nelson Mandela,,,,,,,
,,,,,,,,,,,,,,,,,,,,,22,34,JLMelenchon,JLMelenchon,80820758,,,,,,,,entity,1466058925661245445,Jean-Luc Mélenchon,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,13,Place,"Named places in the world, like Fenway Park",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,864921776123293696,Africa,Africa,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,35,Politician,"Politicians in the world, like Joe Biden",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,1466058925661245445,Jean-Luc Mélenchon,,,,,,,,
1038522871067410435,"RT @Causes_Communes: .@JfCorty ""l'essentiel de la migration se fait entre les pays du sud"" #NosCausesCommunes",fr,2018-09-08T20:22:01.000Z,@Gauche_RS,819682788,1038522871067410435,3,0,0,0,everyone,False,,,retweeted,1038419293875187713,,91,109,NosCausesCommunes,3,19,Causes_Communes,Causes_Communes,935093799788974080,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,22,30,JfCorty,JfCorty,2451513506,,,,,,,,,,,,,,,,,,
1038522736736456705,"RT @Causes_Communes: Aminata Traoré ""Lorsque l'on dit que le développement est la solution contre l'immigration illégale, je demande : mais quel développement?"" #NosCausesCommunes",fr,2018-09-08T20:21:29.000Z,@Gauche_RS,819682788,1038522736736456705,11,0,0,0,everyone,False,,,retweeted,1038407530706337792,,,,,3,19,Causes_Communes,Causes_Communes,935093799788974080,,,,,,,,,,,,,,,,,,
1020712848174080001,"#Frangy2018 46e fête de la rose dernier dimanche 26 août, à Frangy-en-Bresse. tables rondes: les territoires et l'Etat, l'Europe dans la tourmente de la migration, de l'austérité et de la biodiversité, la résistance du modèle social français... ➡️ https://t.co/niCAEaCeMR https://t.co/XxQazuY4AQ",fr,2018-07-21T16:51:21.000Z,@Gauche_RS,819682788,1020712848174080001,17,1,19,1,everyone,False,,01a3389dcd3bc617,,,,0,11,Frangy2018,,,,,,248,271,https://t.co/niCAEaCeMR,https://www.facebook.com/676925079364027/posts/799566117099922/,facebook.com/67692507936402…,,,domain,13,Place,"Named places in the world, like Fenway Park",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,272,295,https://t.co/XxQazuY4AQ,https://twitter.com/Union_et_Espoir/status/1020712848174080001/photo/1,pic.twitter.com/XxQazuY4AQ,,,entity,855409238318882816,Europe,Europa,,,,,,,
1011948408133865472,"RT @mnlienemann: #PognonDeDingue, pouvoir d’achat, #asile, #immigration, #Europe, @EmmanuelMacron en visite chez le @Pontifex_fr: j’étais invitée de @MardiPolitique sur @LCP et @publicsenat hier soir ➡️ https://t.co/qJa3wvFfYu https://t.co/46Kw3PA2XM",fr,2018-06-27T12:24:36.000Z,@Gauche_RS,819682788,1011948408133865472,13,0,0,0,everyone,False,,,retweeted,1011939935958568961,,17,32,PognonDeDingue,3,15,mnlienemann,mnlienemann,46522376,,,,,,,,domain,10,Person,Named people in the world like Nelson Mandela,,,,,,,
,,,,,,,,,,,,,,,,,,51,57,asile,82,97,EmmanuelMacron,EmmanuelMacron,1976143068,,,,,,,,entity,806597775282421760,Pope Francis,Pope Francis,,,,,,,
,,,,,,,,,,,,,,,,,,59,71,immigration,116,128,Pontifex_fr,Pontifex_fr,500713106,,,,,,,,domain,10,Person,Named people in the world like Nelson Mandela,,,,,,,
,,,,,,,,,,,,,,,,,,73,80,Europe,,,,,,,,,,,,,entity,822153632002904064,Emmanuel Macron,Emmanuel Macron,,,,,,,
