data__id,data__text,data__lang,data__created_at,author__username,data__author_id,data__conversation_id,data__public_metrics__retweet_count,data__public_metrics__reply_count,data__public_metrics__like_count,data__public_metrics__quote_count,data__reply_settings,data__possibly_sensitive,data__source,data__geo__place_id,data__referenced_tweets__type,data__referenced_tweets__id,data__in_reply_to_user_id,data__entities__hashtags__start,data__entities__hashtags__end,data__entities__hashtags__tag,data__entities__mentions__start,data__entities__mentions__end,data__entities__mentions__username,data__entities__mentions__username,data__entities__mentions__id,data__entities__urls__start,data__entities__urls__end,data__entities__urls__url,data__entities__urls__expanded_url,data__entities__urls__display_url,data__entities__urls__status,data__entities__urls__unwound_url,data__context_annotations__|,data__context_annotations__|__id,data__context_annotations__|__name,data__context_annotations__|__description,data__attachments__media_keys__001,data__attachments__media_keys__002,data__attachments__media_keys__003,data__attachments__media_keys__004,meta__newest_id,meta__oldest_id,meta__result_count
1204000417421639680,Des enfants se suicident à cause des politiques européennes. \n Des enfants.  \n Se suicident.  \n En Europe.  \n A cause de nos politiques migratoires. \n A quel moment cette info va déclencher un scandale ?  \n Avons-nous abdiqué?  \n Pensons-nous désormais que c’est normal? https://t.co/bpe0yR8S5g,fr,2019-12-09T11:30:43.000Z,@rglucks1,2967623435,1204000417421639680,616,37,738,32,everyone,False,,,,,,,,,,,,,,257,280,https://t.co/bpe0yR8S5g,https://www.rtbf.be/info/monde/detail_grece-des-enfants-refugies-tentent-de-se-suicider-pour-echapper-aux-conditions-de-vie-des-camps?id=10383834,rtbf.be/info/monde/det…,200,https://www.rtbf.be/article/grece-des-enfants-refugies-tentent-de-se-suicider-pour-echapper-aux-conditions-de-vie-des-camps-10383834?id=10383834,domain,10,Person,Named people in the world like Nelson Mandela,,,,,1204000417421639680,1116076271186927617,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,1117816802703106048,Raphael Glucksmann,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,35,Politician,"Politicians in the world, like Joe Biden",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,1117816802703106048,Raphael Glucksmann,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,131,Unified Twitter Taxonomy,A taxonomy of user interests. ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,847878884917886977,Politics,Politics,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,131,Unified Twitter Taxonomy,A taxonomy of user interests. ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,1070032753834438656,Political figures,Politician,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,131,Unified Twitter Taxonomy,A taxonomy of user interests. ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,1117816802703106048,Raphael Glucksmann,,,,,,,,
1174356893554401280,"Emmanuel Macron: de « renouer avec la France humaniste » à « les défenseurs des droits de l’homme sont des bourgeois déconnectés » really quick... \n La stratégie « tapons sur les migrants » peut paraître rusée ou machiavélique, mais on sait déjà qui en bénéficiera politiquement.",fr,2019-09-18T16:17:56.000Z,@rglucks1,2967623435,1174356893554401280,50,14,156,5,everyone,False,,,,,,,,,,,,,,,,,,,,,domain,10,Person,Named people in the world like Nelson Mandela,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,1117816802703106048,Raphael Glucksmann,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,35,Politician,"Politicians in the world, like Joe Biden",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,1117816802703106048,Raphael Glucksmann,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,131,Unified Twitter Taxonomy,A taxonomy of user interests. ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,847878884917886977,Politics,Politics,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,131,Unified Twitter Taxonomy,A taxonomy of user interests. ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,1070032753834438656,Political figures,Politician,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,131,Unified Twitter Taxonomy,A taxonomy of user interests. ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,1117816802703106048,Raphael Glucksmann,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,10,Person,Named people in the world like Nelson Mandela,,,,,,,
