data__id,data__text,data__lang,data__created_at,author__username,data__author_id,data__conversation_id,data__public_metrics__retweet_count,data__public_metrics__reply_count,data__public_metrics__like_count,data__public_metrics__quote_count,data__reply_settings,data__possibly_sensitive,data__source,data__geo__place_id,data__referenced_tweets__type,data__referenced_tweets__id,data__in_reply_to_user_id,data__entities__hashtags__start,data__entities__hashtags__end,data__entities__hashtags__tag,data__entities__mentions__start,data__entities__mentions__end,data__entities__mentions__username,data__entities__mentions__username,data__entities__mentions__id,data__entities__urls__start,data__entities__urls__end,data__entities__urls__url,data__entities__urls__expanded_url,data__entities__urls__display_url,data__entities__urls__status,data__entities__urls__unwound_url,data__context_annotations__|,data__context_annotations__|__id,data__context_annotations__|__name,data__context_annotations__|__description,data__attachments__media_keys__001,data__attachments__media_keys__002,data__attachments__media_keys__003,data__attachments__media_keys__004,meta__newest_id,meta__oldest_id,meta__result_count
1454840807257694208,"RT @OnEstEnDirectF2: ""Les migrants sont toujours affectés dans les mêmes lieux (...) la mixité n'existe plus dans certains quartiers. Il faut que les établissements scolaires soient beaucoup plus diversifiés !\"" \n  \n @fhollande est dans #OEED ce soir ⬇️ https://t.co/LG3rc3BBUc",fr,2021-10-31T16:00:52.000Z,@fhollande,18814998,1454840807257694208,40,0,0,0,everyone,False,,,retweeted,1454578145131171843,,,,,3,19,OnEstEnDirectF2,OnEstEnDirectF2,1309087568705867778,,,,,,,,domain,10,Person,Named people in the world like Nelson Mandela,,,,,1454840807257694208,1454840807257694208,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,822415432615227392,François Hollande,François Hollande,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,35,Politician,"Politicians in the world, like Joe Biden",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,822415432615227392,François Hollande,François Hollande,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,131,Unified Twitter Taxonomy,A taxonomy of user interests. ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,822415432615227392,François Hollande,François Hollande,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,131,Unified Twitter Taxonomy,A taxonomy of user interests. ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,847878884917886977,Politics,Politics,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,131,Unified Twitter Taxonomy,A taxonomy of user interests. ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,1070032753834438656,Political figures,Politician,,,,,,,
