data__id,data__text,data__lang,data__created_at,author__username,data__author_id,data__conversation_id,data__public_metrics__retweet_count,data__public_metrics__reply_count,data__public_metrics__like_count,data__public_metrics__quote_count,data__reply_settings,data__possibly_sensitive,data__source,data__geo__place_id,data__referenced_tweets__type,data__referenced_tweets__id,data__in_reply_to_user_id,data__entities__hashtags__start,data__entities__hashtags__end,data__entities__hashtags__tag,data__entities__mentions__start,data__entities__mentions__end,data__entities__mentions__username,data__entities__mentions__username,data__entities__mentions__id,data__entities__urls__start,data__entities__urls__end,data__entities__urls__url,data__entities__urls__expanded_url,data__entities__urls__display_url,data__entities__urls__status,data__entities__urls__unwound_url,data__context_annotations__|,data__context_annotations__|__id,data__context_annotations__|__name,data__context_annotations__|__description,data__attachments__media_keys__001,data__attachments__media_keys__002,data__attachments__media_keys__003,data__attachments__media_keys__004,meta__newest_id,meta__oldest_id,meta__result_count
1509624427729899531,"Mes 2 autres adversaires sont Mme Le Pen et M. Zemmour qui incarnent une autre forme du vieux monde, qui évite les grandes questions qui sont posées à l'humanité et ne parle que de haine et de débats absurdes sur l'immigration.  \n  \n #Elysee2022 #MelenchonVaGagner https://t.co/TCQ8eXAqbE",fr,2022-03-31T20:11:25.000Z,@JLMelenchon,80820758,1509621556468760582,148,17,416,4,everyone,False,,,replied_to,1509623829164920846,80820758,230,241,Elysee2022,,,,,,261,284,https://t.co/TCQ8eXAqbE,https://twitter.com/JLMelenchon/status/1509624427729899531/photo/1,pic.twitter.com/TCQ8eXAqbE,,,domain,10,Person,Named people in the world like Nelson Mandela,,,,,1509624427729899531,1486809905403154433,8
,,,,,,,,,,,,,,,,,,242,260,MelenchonVaGagner,,,,,,,,,,,,,entity,1466053355365548040,Éric Zemmour,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,10,Person,Named people in the world like Nelson Mandela,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,1466058925661245445,Jean-Luc Mélenchon,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,29,Events [Entity Service],Real world events. ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,1483827056597110787,French Presidential Elections 2022,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,35,Politician,"Politicians in the world, like Joe Biden",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,1466053355365548040,Éric Zemmour,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domain,35,Politician,"Politicians in the world, like Joe Biden",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entity,1466058925661245445,Jean-Luc Mélenchon,,,,,,,,
