data__id,data__text,data__lang,data__created_at,author__username,data__author_id,data__conversation_id,data__public_metrics__retweet_count,data__public_metrics__reply_count,data__public_metrics__like_count,data__public_metrics__quote_count,data__reply_settings,data__possibly_sensitive,data__source,data__geo__place_id,data__referenced_tweets__type,data__referenced_tweets__id,data__in_reply_to_user_id,data__entities__hashtags__start,data__entities__hashtags__end,data__entities__hashtags__tag,data__entities__mentions__start,data__entities__mentions__end,data__entities__mentions__username,data__entities__mentions__username,data__entities__mentions__id,data__entities__urls__start,data__entities__urls__end,data__entities__urls__url,data__entities__urls__expanded_url,data__entities__urls__display_url,data__entities__urls__status,data__entities__urls__unwound_url,data__context_annotations__|,data__context_annotations__|__id,data__context_annotations__|__name,data__context_annotations__|__description,data__attachments__media_keys__001,data__attachments__media_keys__002,data__attachments__media_keys__003,data__attachments__media_keys__004,meta__newest_id,meta__oldest_id,meta__result_count
1207297455403995136,"🌍 En cette journée internationale des migrants, @sylvieguillaume \n nous invite à « réfléchir au futur de nos politiques migratoires ». #MigrantsDay #RefugeesWelcome https://t.co/xqsbtqNZ1I",fr,2019-12-18T13:51:58.000Z,@partisocialiste,19900973,1207297455403995136,17,1,36,1,everyone,False,,,,,,133,145,MigrantsDay,48,64,sylvieguillaume,sylvieguillaume,167328296,163,186,https://t.co/xqsbtqNZ1I,https://twitter.com/partisocialiste/status/1207297455403995136/video/1,pic.twitter.com/xqsbtqNZ1I,,,,,,,7_1207295619708141569,,,,1207297455403995136,1083610359771082752,79
,,,,,,,,,,,,,,,,,,146,162,RefugeesWelcome,,,,,,,,,,,,,,,,,,,,,,,
1207216925190868992,"RT @sylvieguillaume: Journée internationale des migrants #MigrantsDay : je pense à toutes les personnes bloquées sur les îles en Grèce et qui vivent dans des conditions déplorables, au coeur même de l'Europe. Il faut agir ! #refugeeswelcome #Lesbos #Samos",fr,2019-12-18T08:31:58.000Z,@partisocialiste,19900973,1207216925190868992,15,0,0,0,everyone,False,,,retweeted,1207208879404118022,,57,69,MigrantsDay,3,19,sylvieguillaume,sylvieguillaume,167328296,,,,,,,,,,,,,,,,,,
1203055355862962179,"Retrouvez le billet de @VDuchaussoy, secrétaire national au travail et au dialogue social, sur les dérives de l’ubérisation à la fois sur l’exploitation, le travail dissimulé et les violences sexistes et sexuelles https://t.co/huGwOQu4jr 👇",fr,2019-12-06T20:55:23.000Z,@partisocialiste,19900973,1203055355862962179,21,2,24,2,everyone,False,,,,,,,,,23,35,VDuchaussoy,VDuchaussoy,571694310,214,237,https://t.co/huGwOQu4jr,https://bit.ly/2Rni9Ky,bit.ly/2Rni9Ky,,,,,,,,,,,,,
1198219588087033856,"@faureolivier « Sur l'#immigration : il faut accepter l’idée que si nous avons des mouvements migratoires, ce n’est pas parce que nous avons l’aide médicale d’État. » \n - @faureolivier #CNPS \n  \n ➡️ https://t.co/N6i8R5Lixi https://t.co/nOeutkgWdL",fr,2019-11-23T12:39:46.000Z,@partisocialiste,19900973,1198215613308686336,4,1,5,2,everyone,False,,,replied_to,1198219239175413760,19900973,22,34,immigration,0,13,faureolivier,faureolivier,213754264,193,216,https://t.co/N6i8R5Lixi,https://www.parti-socialiste.fr/repenser-la-politique-migratoire/,parti-socialiste.fr/repenser-la-po…,,,,,,,3_1198219578209386497,,,,,,
,,,,,,,,,,,,,,,,,,183,188,CNPS,169,182,faureolivier,faureolivier,213754264,217,240,https://t.co/nOeutkgWdL,https://twitter.com/partisocialiste/status/1198219588087033856/photo/1,pic.twitter.com/nOeutkgWdL,,,,,,,,,,,,,
1193569101656076289,"RT @CaroleDelga: « Je crois en tant que Pyrénéenne et, avec le nom que je porte, aux vertus de l'intégration républicaine, celle-là même qui a permis à 500 000 Espagnols de trouver refuge en France voici quatre-vingts ans » Retrouvez ma tribune sur l’immigration publiée ce matin dans @le_Parisien https://t.co/aULlBt23qt",fr,2019-11-10T16:40:23.000Z,@partisocialiste,19900973,1193569101656076289,123,0,0,0,everyone,False,,,retweeted,1193456538528178177,,,,,3,15,CaroleDelga,CaroleDelga,518368742,,,,,,,,,,,,,,,,,,
1192891276208807936,"📰 Réforme de l’assurance #chomage, propositions du gouvernement sur l'#immigration et chronique de @clemovitch dans @clique : 3 sujets qui ont fait l'actualité cette semaine que @Dieynadiopsow décrypte pour vous dans le #ZapPol de ce vendredi. 👇🏼 \n https://t.co/cny03S91SZ",fr,2019-11-08T19:46:57.000Z,@partisocialiste,19900973,1192891276208807936,9,0,14,1,everyone,False,,,,,,25,33,chomage,99,110,clemovitch,clemovitch,2574472352,247,270,https://t.co/cny03S91SZ,https://www.youtube.com/watch?v=nknCeapo2QE,youtube.com/watch?v=nknCea…,200,https://www.youtube.com/watch?v=nknCeapo2QE,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,70,82,immigration,116,123,clique,clique,1637543293,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,220,227,ZapPol,178,192,Dieynadiopsow,Dieynadiopsow,3086395801,,,,,,,,,,,,,,,,,,
